"id","category_id","property_type_id"
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,2,1
7,2,2
8,2,3
9,2,4
10,2,5
11,3,1
12,3,2
13,3,3
14,3,4
15,3,5
16,4,1
17,4,2
18,4,3
19,4,4
20,4,5
21,5,1
22,5,2
23,5,3
24,5,4
25,5,5
26,6,1
27,6,2
28,6,3
29,6,4
30,6,5
31,7,1
32,7,2
33,7,3
34,7,4
35,7,5
36,8,1
37,8,2
38,8,3
39,8,4
40,8,5
41,9,1
42,9,2
43,9,3
44,9,4
45,9,5
46,10,1
47,10,2
48,10,3
49,10,4
50,10,5
51,11,1
52,11,2
53,11,3
54,11,4
55,11,5
56,12,1
57,12,2
58,12,3
59,12,4
60,12,5
61,13,1
62,13,2
63,13,3
64,13,4
65,13,5
66,14,1
67,14,2
68,14,3
69,14,4
70,14,5
71,15,1
72,15,2
73,15,3
74,15,4
75,15,5
76,16,1
77,16,2
78,16,3
79,16,4
80,16,5
81,17,1
82,17,2
83,17,3
84,17,4
85,17,5
86,18,1
87,18,2
88,18,3
89,18,4
90,18,5
91,19,1
92,19,2
93,19,3
94,19,4
95,19,5
96,20,1
97,20,2
98,20,3
99,20,4
100,20,5
101,21,1
102,21,2
103,21,3
104,21,4
105,21,5
106,22,1
107,22,2
108,22,3
109,22,4
110,22,5
111,23,1
112,23,2
113,23,3
114,23,4
115,23,5
116,24,1
117,24,2
118,24,3
119,24,4
120,24,5
121,25,1
122,25,2
123,25,3
124,25,4
125,25,5
126,26,1
127,26,2
128,26,3
129,26,4
130,26,5
131,27,1
132,27,2
133,27,3
134,27,4
135,27,5
136,28,1
137,28,2
138,28,3
139,28,4
140,28,5
141,29,1
142,29,2
143,29,3
144,29,4
145,29,5
146,30,1
147,30,2
148,30,3
149,30,4
150,30,5
151,31,1
152,31,2
153,31,3
154,31,4
155,31,5
156,32,1
157,32,2
158,32,3
159,32,4
160,32,5
161,33,1
162,33,2
163,33,3
164,33,4
165,33,5
166,34,1
